ship,k,row,value
0,0,0,1114
0,0,1,918
0,0,2,1116
0,0,3,1165
0,0,4,1106
0,0,5,977
0,0,6,969
0,0,7,904
0,0,8,1109
0,0,9,960
0,0,10,1108
0,0,11,960
0,0,12,1138
0,0,13,960
0,0,14,1186
0,0,15,1109
0,0,16,909
0,0,17,1148
0,0,18,1032
0,0,19,941
0,1,0,1075
0,1,1,1131
0,1,2,1014
0,1,3,1043
0,1,4,989
0,1,5,1026
0,1,6,1129
0,1,7,935
0,1,8,988
0,1,9,1050
0,1,10,969
0,1,11,1151
0,1,12,1035
0,1,13,992
0,1,14,958
0,1,15,986
0,1,16,1014
0,1,17,918
0,1,18,1035
0,1,19,1049
0,2,0,1187
0,2,1,907
0,2,2,966
0,2,3,1025
0,2,4,902
0,2,5,1143
0,2,6,1143
0,2,7,1040
0,2,8,946
0,2,9,1097
0,2,10,1039
0,2,11,1183
0,2,12,964
0,2,13,964
0,2,14,953
0,2,15,1028
0,2,16,1074
0,2,17,1180
0,2,18,1174
0,2,19,1140
1,0,0,1006
1,0,1,1023
1,0,2,1064
1,0,3,969
1,0,4,1162
1,0,5,1116
1,0,6,1094
1,0,7,1020
1,0,8,919
1,0,9,1047
1,0,10,1018
1,0,11,1099
1,0,12,1022
1,0,13,1118
1,0,14,995
1,0,15,1011
1,0,16,921
1,0,17,1058
1,0,18,995
1,0,19,972
1,1,0,1163
1,1,1,1190
1,1,2,1085
1,1,3,927
1,1,4,1015
1,1,5,1006
1,1,6,1159
1,1,7,966
1,1,8,1180
1,1,9,1020
1,1,10,1079
1,1,11,1128
1,1,12,1062
1,1,13,1059
1,1,14,1176
1,1,15,905
1,1,16,954
1,1,17,979
1,1,18,983
1,1,19,1157
1,2,0,984
1,2,1,965
1,2,2,1087
1,2,3,1153
1,2,4,1122
1,2,5,1030
1,2,6,988
1,2,7,1181
1,2,8,1148
1,2,9,983
1,2,10,1025
1,2,11,1138
1,2,12,916
1,2,13,1063
1,2,14,1160
1,2,15,1056
1,2,16,1059
1,2,17,1155
1,2,18,972
1,2,19,1014
